name,category,website,instagram_handle,verification_url,status
McDonald's India,Brand,https://www.mcdonaldsindia.com/,,,candidate
The Whole Truth Foods,D2C brand,https://thewholetruthfoods.com/,thewholetruthfoods,https://thewholetruthfoods.com/,verified
Minimalist,D2C brand,https://beminimalist.co/,,,candidate
SUGAR Cosmetics,D2C brand,https://in.sugarcosmetics.com/,,,candidate
Mamaearth,D2C brand,https://mamaearth.in/,,,candidate
Bombay Shaving Company,D2C brand,https://www.bombayshavingcompany.com/,,,candidate
Wakefit,D2C brand,https://www.wakefit.co/,,,candidate
Urban Company,D2C brand,https://www.urbancompany.com/,,,candidate
Blue Tokai,D2C brand,https://bluetokaicoffee.com/,bluetokaicoffee,https://bluetokaicoffee.com/,verified
Mokobara,D2C brand,https://mokobara.com/,,,candidate
Country Delight,D2C brand,https://countrydelight.in/,,,candidate
